"","V1","V2"
"9 1 000 0 -4",0.0121647774398673,3617
"9 1 000 0 -3",0.0335351653469958,4294
"9 1 000 0 -2",0.0795281582952816,5256
"9 1 000 0 -1",0.181833587527538,5901
"9 1 000 0 0",0.653995607366109,5919
"9 1 000 0 1",NA,0
"9 1 000 0 2",NA,0
"9 1 000 0 3",NA,0
"9 1 000 0 4",NA,0
"9 1 000 0 5",NA,0
"9 1 000 0 6",NA,0
"9 1 000 0 7",NA,0
"9 1 000 0 8",NA,0
"9 1 000 0 9",NA,0
"9 1 000 0 10",NA,0
"1 0 000 1 -10",0,1
"1 0 000 1 -9",NA,0
"1 0 000 1 -8",0,2
"1 0 000 1 -7",0,5
"1 0 000 1 -6",0.115384615384615,26
"1 0 000 1 -5",0.132530120481928,83
"1 0 000 1 -4",0.171945701357466,221
"1 0 000 1 -3",0.256499133448873,577
"1 0 000 1 -2",0.347497639282342,1059
"1 0 000 1 -1",0.449370277078086,1985
"1 0 000 1 0",0.565335513187315,41593
"1 0 000 1 1",NA,0
"1 0 000 1 2",NA,0
"1 0 000 1 3",NA,0
"1 0 000 1 4",NA,0
"1 0 000 1 5",NA,0
"1 0 000 1 6",NA,0
"1 0 000 1 7",NA,0
"1 0 000 1 8",NA,0
"1 0 000 1 9",NA,0
"1 0 000 1 10",NA,0
"2 0 000 1 -10",0,6
"2 0 000 1 -9",0.0666666666666667,15
"2 0 000 1 -8",0.0833333333333333,24
"2 0 000 1 -7",0.1,50
"2 0 000 1 -6",0.0689655172413793,116
"2 0 000 1 -5",0.132841328413284,271
"2 0 000 1 -4",0.134351145038168,655
"2 0 000 1 -3",0.233509234828496,1516
"2 0 000 1 -2",0.339847328244275,3275
"2 0 000 1 -1",0.438085327783559,6727
"2 0 000 1 0",0.559131134352373,21131
"2 0 000 1 1",0.668853040241092,5641
"2 0 000 1 2",0.752995066948555,2838
"2 0 000 1 3",0.827659574468085,1410
"2 0 000 1 4",0.915470494417863,627
"2 0 000 1 5",0.913357400722022,277
"2 0 000 1 6",0.919191919191919,99
"2 0 000 1 7",1,35
"2 0 000 1 8",1,15
"2 0 000 1 9",0.875,8
"2 0 000 1 10",1,3
"3 0 000 1 -10",0,19
"3 0 000 1 -9",0.0333333333333333,30
"3 0 000 1 -8",0.0394736842105263,76
"3 0 000 1 -7",0.0232558139534884,172
"3 0 000 1 -6",0.061046511627907,344
"3 0 000 1 -5",0.115805946791862,639
"3 0 000 1 -4",0.147554806070826,1186
"3 0 000 1 -3",0.246858168761221,2228
"3 0 000 1 -2",0.314575411913815,3945
"3 0 000 1 -1",0.419573506566869,7081
"3 0 000 1 0",0.554577104239197,14649
"3 0 000 1 1",0.677414928649835,7288
"3 0 000 1 2",0.775186104218362,4030
"3 0 000 1 3",0.841144548593981,2027
"3 0 000 1 4",0.898156277436348,1139
"3 0 000 1 5",0.922010398613518,577
"3 0 000 1 6",0.952681388012618,317
"3 0 000 1 7",0.963414634146341,164
"3 0 000 1 8",0.951219512195122,82
"3 0 000 1 9",0.972972972972973,37
"3 0 000 1 10",1,21
"4 0 000 1 -10",0,55
"4 0 000 1 -9",0,71
"4 0 000 1 -8",0.00649350649350649,154
"4 0 000 1 -7",0.041522491349481,289
"4 0 000 1 -6",0.0715705765407555,503
"4 0 000 1 -5",0.0861878453038674,905
"4 0 000 1 -4",0.137659187386295,1649
"4 0 000 1 -3",0.216601353758461,2807
"4 0 000 1 -2",0.292380522993688,4436
"4 0 000 1 -1",0.434042553191489,6580
"4 0 000 1 0",0.558072528564332,10065
"4 0 000 1 1",0.685925015365704,6508
"4 0 000 1 2",0.791493296347665,4326
"4 0 000 1 3",0.858759124087591,2740
"4 0 000 1 4",0.907982937233394,1641
"4 0 000 1 5",0.948361469712016,1007
"4 0 000 1 6",0.969369369369369,555
"4 0 000 1 7",0.96551724137931,319
"4 0 000 1 8",0.987730061349693,163
"4 0 000 1 9",1,80
"4 0 000 1 10",1,33
"5 0 000 1 -10",0.0123456790123457,81
"5 0 000 1 -9",0.00819672131147541,122
"5 0 000 1 -8",0.0241379310344828,290
"5 0 000 1 -7",0.0353200883002208,453
"5 0 000 1 -6",0.0335766423357664,685
"5 0 000 1 -5",0.0677257525083612,1196
"5 0 000 1 -4",0.100104275286757,1918
"5 0 000 1 -3",0.189607708189952,2906
"5 0 000 1 -2",0.271091113610799,4445
"5 0 000 1 -1",0.408116883116883,6160
"5 0 000 1 0",0.554514372546537,7897
"5 0 000 1 1",0.712109061748196,6235
"5 0 000 1 2",0.808056872037915,4642
"5 0 000 1 3",0.886285535770072,3201
"5 0 000 1 4",0.933812211390457,1949
"5 0 000 1 5",0.960165975103734,1205
"5 0 000 1 6",0.976653696498054,771
"5 0 000 1 7",0.993562231759657,466
"5 0 000 1 8",0.989208633093525,278
"5 0 000 1 9",1,181
"5 0 000 1 10",1,85
"6 0 000 1 -10",0,109
"6 0 000 1 -9",0,196
"6 0 000 1 -8",0.0105263157894737,380
"6 0 000 1 -7",0.0192678227360308,519
"6 0 000 1 -6",0.0325960419091967,859
"6 0 000 1 -5",0.0541466758053461,1459
"6 0 000 1 -4",0.0852352119236143,2147
"6 0 000 1 -3",0.151622229360745,3113
"6 0 000 1 -2",0.242774566473988,4325
"6 0 000 1 -1",0.386642920747996,5615
"6 0 000 1 0",0.557364460144371,6511
"6 0 000 1 1",0.732926829268293,5740
"6 0 000 1 2",0.842696629213483,4361
"6 0 000 1 3",0.90997796663519,3177
"6 0 000 1 4",0.947136563876652,2270
"6 0 000 1 5",0.97024178549287,1613
"6 0 000 1 6",0.981751824817518,1096
"6 0 000 1 7",0.998432601880878,638
"6 0 000 1 8",0.995061728395062,405
"6 0 000 1 9",0.995798319327731,238
"6 0 000 1 10",0.991869918699187,123
"7 0 000 1 -10",0,146
"7 0 000 1 -9",0,254
"7 0 000 1 -8",0.00442477876106195,452
"7 0 000 1 -7",0.0117302052785924,682
"7 0 000 1 -6",0.0165692007797271,1026
"7 0 000 1 -5",0.0305927342256214,1569
"7 0 000 1 -4",0.0563002680965147,2238
"7 0 000 1 -3",0.105659142950605,3057
"7 0 000 1 -2",0.198361050855628,4149
"7 0 000 1 -1",0.338229609586394,5174
"7 0 000 1 0",0.564834770114943,5568
"7 0 000 1 1",0.762050497322112,5228
"7 0 000 1 2",0.875,4312
"7 0 000 1 3",0.939339339339339,3330
"7 0 000 1 4",0.97051597051597,2442
"7 0 000 1 5",0.988726042841037,1774
"7 0 000 1 6",0.994032395566922,1173
"7 0 000 1 7",0.997569866342649,823
"7 0 000 1 8",0.99802371541502,506
"7 0 000 1 9",1,330
"7 0 000 1 10",0.995049504950495,202
"8 0 000 1 -10",0,195
"8 0 000 1 -9",0.00325732899022801,307
"8 0 000 1 -8",0.00200400801603206,499
"8 0 000 1 -7",0.0051150895140665,782
