YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI\
2015,F,bryak001,7,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0\
2015,F,cartc002,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0\
2015,F,castj006,2,3,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0\
2015,F,casts001,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,cervf001,2,4,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0\
2015,F,coleg001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,corrc001,6,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,denoc001,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0\
2015,F,ellsj001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,fowld001,8,4,4,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0\
2015,F,gardb001,8,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0\
2015,F,gatte001,10,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0\
2015,F,gomec002,8,3,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0\
2015,F,gonzm002,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,gregd001,6,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,harrj002,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0\
2015,F,harrj002,6,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,headc001,5,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0\
2015,F,jacka001,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,jacka001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,lastt001,5,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0\
2015,F,lowrj001,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
2015,F,marts002,7,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0\
2015,F,mccab002,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0\
